#{"t_start": 1619470822.6716092, "env_id": null}
r,l,t
-1.317667,4,4177.489605
-0.2195,2,4185.580603
-0.625667,3,4194.865601
-0.604667,3,4204.17661
-0.220167,2,4212.237605
-0.049167,1,4217.396605
-0.626,3,4226.660604
-0.046667,1,4231.588606
-2.302667,5,4245.920602
-0.046667,1,4251.859601
-1.286833,4,4264.149948
-0.205,2,4272.587953
-0.219167,2,4281.074947
-0.205167,2,4288.027949
-0.045,1,4293.433969
-0.204333,2,4301.31495
-0.599667,3,4311.856969
-0.046167,1,4317.62097
-0.218333,2,4326.67096
-0.046,1,4332.88195
-0.046167,1,4338.660946
-0.219,2,4347.155949
-0.605833,3,4357.865946
-0.198333,2,4365.938947
-0.606667,3,4375.711944
-0.045333,1,4381.08395
-1.2935,4,4392.961946
-0.22,2,4400.510971
-0.045333,1,4404.982945
-0.217,2,4412.893968
-0.219333,2,4419.487946
-0.217667,2,4427.059948
-2.340667,5,4441.49997
-0.218333,2,4449.457959
-0.218333,2,4457.963942
-0.044667,1,4463.67497
-0.045167,1,4469.43396
-0.2155,2,4477.40796
-0.045,1,4482.231949
-1.257833,4,4495.125941
-0.045333,1,4500.963953
-1.2845,4,4510.724969
-0.046,1,4516.530949
-1.2685,4,4528.080969
-0.044833,1,4533.35494
-0.631333,3,4543.44596
-0.218333,2,4551.525945
-0.047833,1,4557.498951
-0.218,2,4564.970971
-0.046667,1,4570.899973
-0.218333,2,4578.99497
-0.045333,1,4584.795939
-0.045167,1,4589.780961
-0.217167,2,4597.302944
-0.218333,2,4605.279971
-0.047,1,4610.75697
-0.221,2,4617.562969
-0.045,1,4622.878945
-0.045333,1,4628.167962
-0.218333,2,4636.67694
-0.044833,1,4641.954947
-0.617833,3,4651.40996
-0.0475,1,4656.853961
-0.606667,3,4666.599972
-0.219,2,4674.705961
-0.236167,2,4682.524964
-1.262333,4,4694.854943
-0.608,3,4703.681973
-1.312333,4,4715.52195
-1.309667,4,4725.37896
-1.312167,4,4737.293973
-1.267667,4,4749.388938
-0.610833,3,4759.773973
-0.6045,3,4770.80496
-0.045,1,4776.11896
-0.219,2,4784.654948
-0.2195,2,4792.639964
-1.284667,4,4805.242942
-0.222167,2,4812.097965
-0.044833,1,4817.397941
-0.219833,2,4824.93197
-0.601667,3,4834.719946
-0.6095,3,4844.22296
-0.045,1,4849.53596
-0.6205,3,4859.460959
-0.044667,1,4865.180976
-0.0505,1,4869.76094
-0.044667,1,4875.549969
-0.607,3,4886.66295
-1.2945,4,4897.679945
-1.304667,4,4909.442969
-0.612167,3,4919.624948
-0.046667,1,4924.490944
-0.045167,1,4930.316969
-0.624667,3,4939.69797
-0.611,3,4949.83395
-2.331,5,4962.531974
-0.045,1,4967.855945
-0.0485,1,4972.905947
-0.220167,2,4980.58795
-0.044833,1,4985.891957
-0.045,1,4991.303947
-0.044667,1,4997.041952
-1.289667,4,5008.863971
-0.045167,1,5014.677945
-0.045167,1,5020.429973
-1.297167,4,5032.067958
-0.046,1,5037.933973
-0.048,1,5042.440951
-0.047667,1,5047.405945
-0.626833,3,5056.420949
-0.046667,1,5062.35596
-0.631333,3,5071.379972
-0.6135,3,5081.31296
-0.047333,1,5086.303961
-0.045333,1,5091.580951
-0.606833,3,5100.943949
-0.045333,1,5106.226943
-0.046667,1,5112.076945
-0.608667,3,5121.530973
-0.046167,1,5126.92397
-0.625833,3,5136.305947
-0.219667,2,5144.41196
-0.047167,1,5150.283972
-0.582,3,5160.729955
-0.218167,2,5168.372943
-0.203,2,5176.182956
-0.045,1,5181.537962
-0.045333,1,5187.378948
-0.602,3,5197.143963
-0.218167,2,5205.08296
-0.045333,1,5210.44395
-0.046,1,5216.265961
-0.219167,2,5224.767951
-0.047833,1,5230.730973
-0.625,3,5239.814962
-0.047,1,5245.25894
-0.044833,1,5250.641948
-0.045,1,5255.93997
-0.219833,2,5262.71294
-0.044667,1,5268.502971
-0.2195,2,5276.487944
-0.044667,1,5282.220945
-0.218333,2,5290.27997
-0.046167,1,5295.61897
-0.048167,1,5301.065949
-0.045,1,5305.943948
-0.046167,1,5311.40696
-0.615,3,5321.669946
-0.216333,2,5329.724944
-0.044667,1,5335.44195
-0.218,2,5342.169947
-0.2195,2,5349.818962
-1.3355,4,5361.894959
-0.218833,2,5369.437971
-0.597333,3,5379.179949
-1.331667,4,5390.793972
-0.2195,2,5398.348963
-0.220833,2,5405.989954
-0.236167,2,5413.802973
-0.582667,3,5423.938972
-0.046667,1,5429.857962
-0.206333,2,5437.760972
-0.6325,3,5447.657954
-0.6045,3,5457.907972
-0.217667,2,5465.847971
-0.0485,1,5470.827954
-0.045167,1,5476.651962
-0.210833,2,5485.017972
-0.045,1,5490.341964
-1.289167,4,5502.257948
-0.044667,1,5507.97595
-0.607667,3,5518.225963
-0.22,2,5525.342947
-0.219,2,5533.32996
-0.045333,1,5539.165948
