#{"t_start": 1619670153.7459164, "env_id": null}
r,l,t
-0.238,2,2936.253556
-0.219667,2,2944.614546
-0.047167,1,2950.648549
-0.218833,2,2958.837537
-0.0455,1,2964.318527
-0.045167,1,2970.174556
-0.609667,3,2979.83856
-0.607833,3,2990.413541
-0.047833,1,2995.585539
-0.623667,3,3006.821535
-1.292,4,3019.443547
-0.216333,2,3028.097548
-0.045333,1,3034.014546
-0.045833,1,3039.044546
-0.6065,3,3049.48353
-0.613167,3,3060.459531
-0.589,3,3069.903562
-0.219167,2,3077.482965
-0.220167,2,3085.323961
-0.0455,1,3090.323966
-0.215167,2,3098.509966
-0.594167,3,3109.410966
-0.606667,3,3119.744964
-0.623667,3,3129.871988
-0.047833,1,3134.971962
-0.606333,3,3144.372963
-0.6065,3,3154.337962
-0.212833,2,3162.259968
-0.606667,3,3172.206505
-0.218,2,3179.882493
-0.606667,3,3189.874502
-1.291333,4,3202.181522
-0.6045,3,3212.686496
-0.624833,3,3222.042511
-0.6065,3,3233.47252
-0.607667,3,3243.458499
-0.045167,1,3249.371495
-0.047167,1,3255.338505
-0.220333,2,3263.587525
-0.045167,1,3269.436514
-0.238,2,3276.005015
-1.310833,4,3287.58202
