#{"t_start": 1619579352.0498183, "env_id": null}
r,l,t
-0.219167,2,5444.996577
-3.91,6,5460.394573
-0.219,2,5468.582582
-0.22,2,5476.209615
-0.045,1,5481.126629
-0.605833,3,5491.535614
-0.205167,2,5499.010613
-1.329167,4,5510.946248
-0.044667,1,5516.790242
-1.277,4,5530.658239
-0.044833,1,5535.964251
-0.218333,2,5544.697238
-0.0455,1,5549.575243
-0.210833,2,5557.141238
-0.576,3,5568.179228
-0.2195,2,5575.018238
-0.606333,3,5584.966239
-1.291833,4,5597.406248
-0.045333,1,5603.210227
-0.044667,1,5609.054238
-0.212333,2,5617.07023
-0.0455,1,5622.428229
-1.286833,4,5634.466227
-0.046,1,5640.339109
-1.292333,4,5653.412079
-0.046833,1,5658.908086
-0.0475,1,5664.40608
-0.218833,2,5672.522089
-1.268167,4,5684.685848
-0.2195,2,5692.31187
-0.632667,3,5700.66686
-0.611,3,5710.187843
-0.611,3,5721.023862
-0.045167,1,5726.847843
-1.291333,4,5738.943842
-0.204333,2,5746.642842
-0.218333,2,5755.191851
-0.219833,2,5762.87987
-0.046,1,5768.839846
-0.044833,1,5774.209844
-0.2195,2,5781.954853
-0.2065,2,5790.160857
-0.219167,2,5798.868846
-0.045167,1,5804.69486
-0.218833,2,5812.78086
-1.289833,4,5824.904852
-0.218333,2,5833.027846
-0.219167,2,5841.66184
-0.6065,3,5851.68984
-0.046,1,5857.58886
-0.2195,2,5865.447844
-0.6035,3,5875.293844
-0.6045,3,5885.483849
-0.634333,3,5895.306861
-0.046167,1,5900.841861
-0.219667,2,5909.591844
-0.633,3,5920.133846
-0.218333,2,5928.397851
-1.280333,4,5941.725847
-0.044667,1,5947.51284
-1.268167,4,5960.552036
-0.607,3,5970.37586
-0.21,2,5978.17487
-0.046333,1,5984.05985
-1.292,4,5997.130846
-0.218333,2,6005.756854
-0.205667,2,6013.865841
-1.295833,4,6025.93385
-0.607667,3,6035.58284
-1.302167,4,6047.724843
-0.044667,1,6053.516862
-0.218333,2,6061.715869
-0.046,1,6067.589873
-0.219,2,6075.770852
-0.218,2,6083.024871
-0.2195,2,6091.61586
-0.6045,3,6102.420845
-1.291333,4,6115.017847
-0.6065,3,6125.491669
-0.045,1,6131.127673
-0.044667,1,6136.993697
-0.6025,3,6146.842668
-1.284,4,6160.45267
-0.618,3,6171.240672
-0.218167,2,6179.480666
-0.046167,1,6185.022665
-0.219,2,6193.26567
-0.605,3,6203.280674
-0.606167,3,6212.877684
-0.045,1,6217.839672
-0.607667,3,6227.84567
-1.296,4,6240.301665
-0.047333,1,6245.364669
-0.219167,2,6252.624674
-0.596167,3,6263.064667
-0.044667,1,6268.960667
-0.615667,3,6279.124665
-0.219,2,6287.780669
-2.338,5,6301.359668
-0.606167,3,6310.483665
-1.297167,4,6322.656669
-1.285333,4,6335.186677
-0.214833,2,6343.353666
-0.048167,1,6348.965666
-0.612,3,6359.707674
-0.044667,1,6365.531672
-1.307833,4,6377.772666
-0.044667,1,6383.691676
-0.049333,1,6388.278666
-0.633333,3,6398.574671
-0.046333,1,6404.639692
-0.628,3,6414.316666
-0.045,1,6419.791667
-1.2825,4,6431.590672
-2.368167,5,6445.025685
-0.220667,2,6452.848665
-0.046167,1,6458.351667
-2.348167,5,6471.716684
-0.048167,1,6477.276687
-0.204167,2,6485.534668
-0.045333,1,6491.428676
-0.6005,3,6502.223673
-2.368333,5,6516.799671
-0.044667,1,6522.676671
-0.618667,3,6533.29167
-0.045333,1,6539.229665
-0.205,2,6547.426674
-0.208333,2,6555.745669
-0.604833,3,6566.093667
-0.217333,2,6573.366684
-0.217667,2,6581.564665
-0.219,2,6589.815665
-0.044667,1,6595.632669
-1.278167,4,6607.376685
-0.218333,2,6615.990889
-0.044667,1,6621.812942
-0.605833,3,6632.576888
-0.596,3,6642.97889
-0.047833,1,6648.951892
-0.6045,3,6658.450916
-0.046167,1,6663.89589
-0.219667,2,6672.014894
-0.048167,1,6677.729894
-0.047833,1,6683.750829
-0.6255,3,6693.74483
-0.604,3,6703.351829
-0.0485,1,6708.392842
-0.6045,3,6719.534833
-0.605833,3,6728.59383
-0.219667,2,6735.835838
-0.605833,3,6746.635847
-0.044833,1,6752.026858
-0.045333,1,6757.37683
-0.219,2,6765.489837
-0.618,3,6775.636837
-0.044667,1,6781.41486
-0.044667,1,6787.168829
-0.047333,1,6792.229856
-0.045333,1,6797.580839
-2.348667,5,6811.966828
-0.046833,1,6817.495847
-0.047333,1,6822.588501
-0.219833,2,6830.2165
-0.5985,3,6840.664478
-0.046167,1,6846.119483
-0.218833,2,6853.895487
-0.209833,2,6862.139486
-0.045333,1,6868.052486
-1.306667,4,6879.701496
-0.631333,3,6889.97656
-0.046,1,6895.907485
-0.219667,2,6904.182481
-0.045167,1,6910.14248
-0.044667,1,6916.012486
-0.6175,3,6926.187485
-0.2205,2,6934.583485
-0.046167,1,6940.041389
-0.044667,1,6945.846388
-1.299333,4,6958.529399
-0.219833,2,6966.210405
-0.218333,2,6974.761379
-0.213667,2,6982.971388
-0.218333,2,6991.528392
-1.298333,4,7004.501405
-0.607667,3,7014.973388
-0.607667,3,7024.364399
-1.286667,4,7038.40238
-0.0455,1,7043.745428
-0.044667,1,7049.538428
-0.22,2,7057.26842
-0.045833,1,7061.727425
-0.6075,3,7072.050432
-0.215833,2,7079.371435
-0.044667,1,7085.161432
-0.218333,2,7093.762431
-1.279833,4,7107.756431
-0.219,2,7116.355424
-0.219667,2,7124.082428
-0.045167,1,7130.036433
-1.271667,4,7143.320422
-0.219,2,7151.471434
-0.045,1,7156.481428
-0.044667,1,7162.275422
-0.219167,2,7169.480416
-0.216333,2,7178.107416
-0.044667,1,7183.904426
-0.046667,1,7189.853421
-0.214333,2,7198.472441
-0.045333,1,7203.851421
-0.047,1,7209.375424
-0.605,3,7219.896441
-1.300667,4,7233.195422
-0.044667,1,7238.980421
-0.046333,1,7244.983419
-0.044833,1,7250.318426
-0.611667,3,7260.69342
-0.607167,3,7271.635421
-0.046833,1,7277.098422
-1.291667,4,7289.39142
-0.047833,1,7295.470417
-0.049333,1,7300.085423
-0.046333,1,7305.950416
-0.218333,2,7313.753426
-0.217667,2,7321.586421
-1.3335,4,7334.707415
-0.219167,2,7342.03842
-0.044667,1,7347.838442
-0.219833,2,7355.416427
-0.049167,1,7360.625421
-0.046667,1,7366.52243
-0.045333,1,7372.362346
-1.284833,4,7385.292326
-0.593833,3,7396.55133
-0.231833,2,7404.643321
-1.298667,4,7416.489336
-0.607667,3,7426.288327
-0.044667,1,7432.13634
-0.605667,3,7443.040325
-0.045,1,7448.45939
-0.607667,3,7458.393383
-0.219667,2,7466.745393
-0.048167,1,7472.255392
-2.373667,5,7486.937707
-0.046167,1,7492.511707
-0.623167,3,7503.074708
-0.216333,2,7510.924713
-0.2185,2,7518.146706
-1.293833,4,7529.905713
-0.6075,3,7540.667708
-0.5925,3,7551.078707
-0.045,1,7556.055707
-0.046,1,7562.092731
-1.2925,4,7575.443495
-0.045333,1,7579.995502
-0.219,2,7588.724495
-0.204167,2,7596.365502
-0.044667,1,7602.2365
-0.045,1,7607.862503
-0.219,2,7616.191498
-0.2195,2,7623.882285
-0.217667,2,7632.032282
-0.045333,1,7637.451293
-0.047333,1,7642.9603
-0.044833,1,7648.36331
-0.219,2,7656.900291
-0.204833,2,7664.413437
-0.048167,1,7670.00344
-0.047,1,7675.479456
-2.341833,5,7689.12745
-0.606333,3,7699.031461
-0.046,1,7705.011431
-0.044833,1,7710.463448
-0.046167,1,7716.018434
-0.218167,2,7724.299428
-0.044667,1,7730.258427
-0.044667,1,7736.126432
-0.217667,2,7744.317429
-1.3195,4,7756.651437
-0.045333,1,7762.528438
-0.045167,1,7768.344448
-0.608,3,7779.116457
-0.045333,1,7784.997437
-0.22,2,7791.729432
-0.619333,3,7801.693437
-0.045,1,7806.717318
-0.621,3,7816.387323
-0.218333,2,7824.579311
-0.045333,1,7830.564316
-0.219,2,7838.851315
-0.219667,2,7847.583312
-0.623667,3,7858.392676
-1.242667,4,7870.759711
-0.216167,2,7878.07068
-0.217667,2,7886.858683
-1.282,4,7897.793684
-0.044667,1,7903.629682
-0.2195,2,7911.50268
-0.605,3,7922.382684
-0.045167,1,7928.290705
-0.219,2,7937.048761
-1.299,4,7949.842681
-0.045,1,7954.856681
-0.6045,3,7965.330683
-0.218333,2,7974.025691
-0.220333,2,7982.763683
-0.046,1,7988.801702
-0.219,2,7996.611705
-0.616167,3,8007.801683
-1.3175,4,8020.618677
-1.257833,4,8033.824677
-0.044667,1,8039.79668
-0.045,1,8045.27068
-1.271167,4,8056.869683
-0.047333,1,8062.093697
-0.217667,2,8070.738712
-0.624333,3,8081.027681
-1.297167,4,8093.688681
-0.605833,3,8104.180684
-0.2215,2,8111.630696
-0.046,1,8117.630682
-0.046167,1,8123.147678
-0.045333,1,8129.021696
-0.219,2,8137.776677
-0.047167,1,8143.777677
-0.044833,1,8149.175683
-1.276167,4,8160.339681
-0.611,3,8171.670678
-0.044667,1,8177.549302
-0.628167,3,8188.726308
-1.298667,4,8200.409303
-1.277333,4,8212.852307
-0.045333,1,8218.864302
-0.219167,2,8227.491302
-0.607167,3,8238.430331
-0.044667,1,8244.441146
-0.231667,2,8251.434137
-0.5865,3,8262.873144
